"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bertelmanpleinbuurt";"       5"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Olympisch Stadion e.o.";"      37"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Marathonbuurt-West";"      16"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Marathonbuurt-Oost";"      32"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Van Tuyllbuurt";"      51"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"IJsbaanpad e.o.";"      12"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Hiltonbuurt";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Minervabuurt-Noord";"      27"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Minervabuurt-Midden";"      46"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Minervabuurt-Zuid";"      47"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Beethovenbuurt";"      33"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Diepenbrockbuurt";"      18"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Wielingenbuurt";"      50"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Scheldebuurt-West";"      80"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Scheldebuurt-Midden";"      47"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Scheldebuurt-Oost";"      43"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Veluwebuurt";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kop Zuidas";"      35"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"IJselbuurt-West";"      47"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"IJselbuurt-Oost";"      44"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kromme Mijdrechtbuurt";"      39"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Rijnbuurt-West";"      12"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Rijnbuurt-Midden";"      43"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Rijnbuurt-Oost";"      23"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Zorgvlied";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Prinses Irenebuurt";"      26"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Beatrixpark";"       0"
